Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,y,z,is_train,label
-1.4699174163186384,-1.2908100255990334,-1.5874286182841697,-1.2595600233855204,-1.1527369236528227,-1.3314694530322375,-1.2176989520620343,1,1,1,1
-1.6482696322062451,-1.2908100255990334,-0.8170308837361283,-1.2548156185375055,-1.198687255897071,-1.1958962519496303,-1.1767256448145385,1,1,1,1
-1.2321144618018303,-1.2184376948766653,-0.8170308837361283,-1.270234934293554,-1.1935816634254877,-1.211539313613008,-1.094779030319547,0,1,0,0
-1.7671711094646496,-1.5079270177661404,-1.202229751010149,-1.5157578851783258,-1.443755694533062,-1.5400436085439408,-1.3406188738045213,1,1,1,1
-1.0537622459142233,-1.073693033431927,-0.5602316388867808,-1.1943244567253153,-1.1884760709539048,-1.3940416996857483,-0.8899124940820684,1,1,1,1
-0.9348607686558187,-0.7842037105424516,-0.6886312613114546,-0.9025435585723979,-0.9816995758547871,-0.9977508042135123,-0.4801794216071114,1,1,0,1
0.1352525266698208,-0.13285273404113257,-0.43183201646210706,-0.2703516125744101,-0.4813515136396385,0.05554868112058849,-0.1523929636271453,1,1,1,1
-0.043099689217786,-0.42234205693060806,-0.43183201646210706,-0.43047527619491327,-0.2924445921910625,-0.017452273308507665,-0.8079658795870769,1,1,1,1
-1.2915652004310323,-1.2184376948766653,-0.9454305061608018,-1.1041807646130317,-0.803003839349377,-0.017452273308507665,-1.2996455665570255,0,1,1,0
-1.1132129845434255,-1.3631823563214027,-0.6886312613114546,-1.1943244567253153,-0.9740411871474123,-1.3836129919101634,-1.1357523375670426,1,1,1,1
-1.5888188935770426,-1.5079270177661404,-0.9454305061608018,-1.4291724967020536,-1.3186686789792748,-1.3888273457979559,-1.3406188738045213,0,1,1,0
-1.2915652004310323,-1.0013207027095583,-0.5602316388867808,-1.0804587403729573,-0.8872461151304987,-1.1333240052961195,-1.0538057230720512,0,1,1,0
-1.5293681549478406,-1.5802993484885093,-1.330629373434823,-1.5027107718462849,-1.3799357886382722,-1.211539313613008,-1.3406188738045213,0,1,0,0
-0.8754100300266164,-0.7118313798200827,-1.202229751010149,-0.9962455543206924,-0.7417367296903792,-0.716175694272713,-1.0128324158245554,0,1,1,0
-0.6970578141390095,-0.7842037105424516,-0.9454305061608018,-1.102994663401028,-1.104233795172783,-1.01339386587689,-0.9308858013295641,0,1,1,0
-1.2321144618018303,-1.4355546870437714,-0.9454305061608018,-1.340214905801774,-1.104233795172783,-1.326255099144445,-1.3406188738045213,0,1,1,0
-0.2809026437345937,-0.42234205693060806,-0.6886312613114546,-0.6605789113236371,-0.9510660210252881,-0.6327460320680316,-0.19336627087464106,1,1,1,1
-0.16200116647619053,-0.42234205693060806,-0.5602316388867808,-0.5538298022433014,-0.5579354007133858,-0.6379603859558243,-0.3572594998646241,1,1,1,1
-0.2809026437345937,-0.2052250647635014,-0.17503277161276037,-0.6878592391997228,-0.7315255447472129,-0.7943910025896017,-0.3162861926171283,1,1,0,1
-1.2915652004310323,-1.1460653641542962,-0.6886312613114546,-1.2382102015694532,-1.2063456446044456,-1.0081795119890975,-1.2586722593095303,0,1,1,0
-1.2915652004310323,-1.2184376948766653,-0.6886312613114546,-1.239396302781457,-1.2727183467350263,-0.9977508042135123,-1.094779030319547,0,1,1,0
-0.34035338236379603,-0.2775973954858703,-0.30343239403743405,-0.47910542588706645,-0.624308102843967,-0.38767139934178046,-0.3572594998646241,1,1,0,1
-0.5781563368806051,-0.5670867183753459,-0.43183201646210706,-0.7613975143439538,-0.7136559710966719,-0.6379603859558243,-0.7669925723395813,1,1,1,1
-0.9943115072850209,-0.8565760412648205,-0.8170308837361283,-1.1943244567253153,-1.0863642215222418,-0.9821077425501344,-1.1767256448145385,0,1,1,0
